,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
164,Hf0.3W0.7B4,44.60681477,40.818325,38.778034,43.777046,1.2752582,53.999783,0.49
165,Hf0.3W0.7B4,38.3895526,35.313652,34.21587,36.568523,0.6001667,25.413576,0.98
166,Hf0.3W0.7B4,34.97312103,32.28851,30.74316,33.179157,0.6214278,26.31386,1.96
167,Hf0.3W0.7B4,32.63388725,30.509228,29.430136,31.442503,0.513359,21.737774,2.94
168,Hf0.3W0.7B4,31.15653914,28.628077,27.91857,29.524544,0.40968728,17.34788,4.9
169,Hf0.4V4.75Ge2.85,9.8,8.5897045,6.5926127,12.625506,1.5390035,51.611603,0.49
170,Hf0.5Nb0.5Cr2,12.45,4.1134653,3.1720586,7.6096945,1.1320499,48.453583,1.96
171,Hf0.5W0.5B4,45.38932972,40.08456,38.00759,43.387627,1.372458,58.11563,0.49
172,Hf0.5W0.5B4,39.47979877,35.10986,33.54211,36.424873,0.7353987,31.139868,0.98
173,Hf0.5W0.5B4,35.47857261,32.179886,30.106909,32.9903,0.73555875,31.146645,1.96
174,Hf0.5W0.5B4,33.75496749,30.480158,28.905205,31.239374,0.59545135,25.21391,2.94
175,Hf0.5W0.5B4,31.90824773,28.694817,27.335354,29.522938,0.5580571,23.63048,4.9
176,Hf2Ge,8.4,7.754383,5.6057568,9.243828,0.9280793,33.235634,0.98
177,Hf3Ge,9.11,6.795153,5.687128,10.712671,1.2820263,54.286373,0.98
178,Hf3Ge2,5.7,7.674659,6.584705,10.238639,0.932126,35.4766,0.98
179,Hf4.6V0.4Ge3,6.9,7.8171124,6.7589498,12.778603,1.5356257,65.02483,0.2
180,Hf5Ge3,7.72,7.54262,6.5569687,10.248061,0.9416052,40.30224,0.98
181,HfB2,28.44,30.081825,29.030298,33.022446,1.018405,38.760365,0.29
182,HfC,15.0,19.129513,11.000152,18.334452,1.8709949,67.00257,0.98
183,HfCr2,2.702,4.616692,3.4449904,6.190713,0.7004394,23.489746,4.9
184,HfGe,5.7,7.5983753,6.35245,7.99104,0.41800773,17.891413,0.98
185,HfGe2,5.8,5.6686225,5.9501443,6.7787433,0.2113773,8.950602,0.98
186,HfN,19.5,19.950294,15.804997,19.846767,1.0310638,44.131214,0.49
187,HfN0.75,8.83,17.75217,14.547548,14.273368,1e-04,0.004280163,0.49
188,HfO2,11.4,14.423698,12.07412,17.280485,1.3281544,56.23963,0.49
189,HfV16Ge31,7.2,8.275733,7.2658844,11.058031,0.96738434,40.96311,0.98
190,HfW2,12.4,7.9491534,6.4283595,12.844751,1.6368346,62.29772,0.98
191,HfW2,9.9,6.2459188,5.835138,10.20162,1.1138985,42.39484,1.96
192,HgTe,0.25,1.4938952,-0.37459666,5.4339614,1.4817749,56.396168,0.25
193,HoB12,28.44,32.61216,32.32168,35.358192,0.77462095,33.15504,0.49
194,HoC2,5.61,5.328704,4.3298535,9.107646,1.2188246,40.874172,1.72
195,HoMn2Si2,5.5,5.618566,5.7779465,7.5111856,0.44215283,15.8340225,0.49
196,HoPd3,3.89,3.298388,3.2718256,6.0151315,0.6998229,29.633438,0.98
197,InBi0.024Sb0.976,4.36,3.414264,2.3362195,4.501557,0.55238193,21.023588,0.98
198,InN,9.8,10.465899,7.606184,10.7841215,0.81069833,34.69921,0.02
199,Ir0.5Pt0.5,1.09,0.8428699,0.14969504,5.769509,1.4336259,48.07769,9.8
200,IrB1.35,37.9,24.362988,18.481644,26.468052,2.037349,68.32398,0.98
201,IrB1.35,29.0,19.602983,15.9113245,21.522667,1.4314649,48.00522,1.96
202,IrB1.35,22.2,18.431849,15.5497875,20.818554,1.344073,45.07447,2.94
